City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,utrik,11.2278,169.8474,27.02,84,90,9.71,MH,1713477847
83,cottage grove,44.8277,-92.9438,9.9,48,100,8.75,US,1713477849
84,sitka,57.0531,-135.33,17.94,19,0,5.14,US,1713477849
85,brokopondo,4.75,-55.1667,26.13,87,100,3.47,SR,1713477849
86,newport,51.5877,-2.9984,10.3,86,100,6.95,GB,1713477566
87,klyuchi,52.2667,79.1667,14.0,80,86,5.23,RU,1713477861
88,boca do acre,-8.7522,-67.3978,23.13,97,100,1.45,BR,1713477862
89,northam,51.0333,-4.2167,9.78,89,100,7.32,GB,1713477862
90,belyy yar,53.6039,91.3903,6.94,87,40,2.0,RU,1713477862
91,gazli,40.1333,63.45,19.86,34,0,7.25,UZ,1713477862
92,naze,28.3667,129.4833,17.51,69,48,3.55,JP,1713477720
93,sinop,41.7711,34.8709,11.18,92,65,1.12,TR,1713477862
94,the pas,53.8251,-101.2541,-1.85,95,100,6.93,CA,1713477865
95,albany,42.6001,-73.9662,8.23,70,100,0.89,US,1713477866
96,alofi,-19.0595,-169.9187,28.94,74,75,6.17,NU,1713477710
97,carnarvon,-24.8667,113.6333,25.46,32,18,7.57,AU,1713477868
98,keflavik,64.0049,-22.5624,1.95,80,20,3.6,IS,1713477868
99,maceio,-9.6658,-35.7353,27.69,89,75,0.51,BR,1713477609
100,celebration,28.3253,-81.5331,32.82,47,0,1.35,US,1713477870
101,lycksele,64.5954,18.6735,-7.07,68,53,2.06,SE,1713477873
102,bubaque,11.2833,-15.8333,26.11,74,3,5.83,GW,1713477873
103,celestun,20.8667,-90.4,29.07,65,0,7.95,MX,1713477873
104,ubari,26.5921,12.7805,24.6,19,0,3.24,LY,1713477873
105,papatowai,-46.5619,169.4708,10.34,98,100,3.52,NZ,1713477874
106,margate,51.3813,1.3862,8.28,77,100,2.68,GB,1713477874
107,severo-yeniseyskiy,60.3725,93.0408,-0.24,93,98,2.24,RU,1713477875
108,san patricio,28.017,-97.5169,30.09,61,89,5.83,US,1713477875
109,iskateley,67.6803,53.1512,-14.99,93,100,3.58,RU,1713477784
110,puerto ayora,-0.7393,-90.3518,27.98,93,53,1.79,EC,1713477875
111,viedma,-40.8135,-62.9967,19.21,45,99,6.52,AR,1713477690
112,shindand,33.3029,62.1474,12.95,74,99,0.98,AF,1713477755
113,petropavlovsk-kamchatsky,53.0452,158.6483,1.36,95,100,0.89,RU,1713477876
114,ribeira grande,38.5167,-28.7,16.54,93,19,2.68,PT,1713477876
115,cadale,2.7603,46.3222,26.15,84,100,8.45,SO,1713477876
116,callao,-12.0667,-77.15,22.16,73,75,6.17,PE,1713477697
117,port lincoln,-34.7333,135.8667,14.6,73,45,6.9,AU,1713477877
118,isafjordur,66.0755,-23.124,-4.08,89,100,2.03,IS,1713477877
119,port blair,11.6667,92.75,27.32,75,42,1.38,IN,1713477877
120,nemuro,43.3236,145.575,2.91,95,100,5.44,JP,1713477877
121,putian,25.4394,119.0103,16.28,84,100,0.86,CN,1713477878
122,glace bay,46.1969,-59.957,3.94,76,9,8.05,CA,1713477880
123,gijang,35.2442,129.2139,10.85,67,0,1.78,KR,1713477880
124,burutu,5.3509,5.5076,27.97,85,100,2.77,NG,1713477882
125,st. john's,47.5649,-52.7093,2.04,97,100,9.39,CA,1713477861
126,aasiaat,68.7098,-52.8699,-9.13,83,99,1.49,GL,1713477883
127,calca,-13.3333,-71.95,17.64,79,95,2.61,PE,1713477883
128,whitehorse,60.7161,-135.0538,6.73,61,4,2.96,CA,1713477883
129,praia da vitoria,38.7333,-27.0667,17.14,94,40,4.64,PT,1713477883
130,huaidian,33.4333,115.0333,14.52,60,100,3.53,CN,1713477884
131,gabu,12.2833,-14.2167,31.95,12,6,2.52,GW,1713477886
132,papao,-17.75,-149.55,30.37,79,25,7.42,PF,1713477835
133,itoman,26.1247,127.6694,20.01,68,20,2.06,JP,1713477887
134,kiiminki,65.1314,25.7974,-4.19,66,31,3.03,FI,1713477888
135,ilulissat,69.2167,-51.1,-3.99,74,40,3.09,GL,1713477889
136,el granada,37.5027,-122.4694,29.21,72,20,8.23,US,1713477897
137,vilyuchinsk,52.9306,158.4028,2.18,96,100,1.1,RU,1713477617
138,tangi,34.3006,71.6536,17.0,77,100,2.21,PK,1713477897
139,kenai,60.5544,-151.2583,10.05,43,20,8.75,US,1713477897
140,alvorada,-12.48,-49.1247,28.27,67,100,1.93,BR,1713477580
141,haapajarvi,63.75,25.3333,-5.86,87,45,2.48,FI,1713477899
142,kourou,5.1552,-52.6478,25.03,94,100,1.76,GF,1713477900
143,makhambet,47.6667,51.5833,19.47,34,0,6.05,KZ,1713477905
144,happy valley-goose bay,53.3168,-60.3315,2.08,60,4,1.78,CA,1713477898
145,dunedin,-45.8742,170.5036,14.33,51,100,2.88,NZ,1713477639
146,taoudenni,22.6783,-3.9836,31.22,9,0,2.14,ML,1713477908
147,haiku-pauwela,20.9219,-156.3051,26.79,69,20,8.75,US,1713477908
148,nguigmi,14.2495,13.1092,32.78,11,82,5.42,NE,1713477910
149,potosi,-19.5836,-65.7531,15.48,36,40,4.12,BO,1713477734
150,badger,64.8,-147.5333,15.14,26,75,3.6,US,1713477912
151,barabinsk,55.3571,78.357,9.12,87,90,7.42,RU,1713477912
152,kinablangan,7.6947,126.5503,25.27,85,82,1.89,PH,1713477918
153,kuanda,56.3161,116.0806,-6.53,84,72,0.34,RU,1713477920
154,oranjemund,-28.55,16.4333,15.5,90,71,0.84,NA,1713477923
155,vorgashor,67.5833,63.95,-22.89,98,43,3.61,RU,1713477926
156,ambon,-3.6954,128.1814,27.71,95,40,2.06,ID,1713477928
157,ulladulla,-35.35,150.4667,10.98,72,99,1.75,AU,1713477724
158,dudinka,69.4058,86.1778,-1.29,97,100,5.36,RU,1713477930
159,xinyuan,37.3,99.0,-1.29,93,100,0.35,CN,1713477931
160,khandyga,62.6667,135.6,-1.43,91,100,1.48,RU,1713477931
161,kavieng,-2.5744,150.7967,28.43,74,7,1.53,PG,1713477931
162,port-vila,-17.7338,168.3219,27.58,78,100,6.65,VU,1713477932
163,ponta delgada,37.7333,-25.6667,18.44,88,40,4.12,PT,1713477933
164,altai,46.3722,96.2583,1.29,23,60,1.45,MN,1713477933
165,roses,42.262,3.1769,13.41,43,0,15.2,ES,1713477933
166,arraial do cabo,-22.9661,-42.0278,21.98,88,100,5.66,BR,1713477661
167,kusheriki,10.5328,6.4422,30.69,20,88,1.81,NG,1713477934
168,fale old settlement,-9.3852,-171.2468,29.63,74,67,5.22,TK,1713477934
169,volodarka,49.5248,29.9122,4.82,97,100,6.2,UA,1713477934
170,hastings,50.8552,0.5729,9.73,76,100,9.31,GB,1713477726
171,kyshtovka,56.555,76.6271,8.52,89,86,6.71,RU,1713477935
172,nuuk,64.1835,-51.7216,-0.66,93,100,4.92,GL,1713477681
173,peace river,56.2501,-117.286,7.17,17,32,3.65,CA,1713477645
174,posto fiscal rolim de moura,-13.0833,-62.2667,25.36,87,73,1.42,BR,1713477946
175,hobyo,5.3505,48.5268,29.28,72,100,4.05,SO,1713477947
176,okoneshnikovo,54.8377,75.0834,11.58,90,92,6.11,RU,1713477948
177,colonia,50.9333,6.95,8.87,76,20,3.09,DE,1713477800
178,angra do heroismo,38.65,-27.2167,17.34,95,40,4.47,PT,1713477955
179,cole harbour,44.6724,-63.4751,8.85,64,60,3.58,CA,1713477813
180,hadibu,12.65,54.0333,28.16,83,23,2.69,YE,1713477957
181,rio gallegos,-51.6226,-69.2181,10.03,87,20,1.03,AR,1713477816
182,cururupu,-1.8283,-44.8683,24.12,99,100,0.35,BR,1713477957
183,severnoye,56.3491,78.3619,7.21,87,83,6.71,RU,1713477957
184,newman,37.3138,-121.0208,28.49,52,78,0.45,US,1713477959
185,labrador city,52.9463,-66.9114,2.14,56,31,1.1,CA,1713477960
186,richards bay,-28.783,32.0377,20.32,88,0,2.14,ZA,1713477962
187,hithadhoo,-0.6,73.0833,28.89,76,27,4.04,MV,1713477962
188,pisco,-13.7,-76.2167,20.03,83,40,2.57,PE,1713477826
189,saint-joseph,-21.3667,55.6167,22.21,81,88,4.02,RE,1713477963
190,jamestown,42.097,-79.2353,14.73,75,75,3.6,US,1713477744
191,nogliki,51.8333,143.1667,0.75,97,100,4.47,RU,1713477963
192,lawton,34.6087,-98.3903,18.95,59,75,8.23,US,1713477928
193,ndola,-12.9587,28.6366,17.27,94,69,2.21,ZM,1713477965
194,kapuskasing,49.4169,-82.4331,7.27,90,100,2.76,CA,1713477967
195,stupava,48.2747,17.0317,5.03,82,20,4.12,SK,1713477798
196,male,4.1748,73.5089,27.97,94,40,4.63,MV,1713477671
197,margaret river,-33.95,115.0667,17.36,41,2,4.36,AU,1713477969
198,la passe,45.5549,-0.8967,8.32,77,11,3.42,FR,1713477971
199,lebu,-37.6167,-73.65,13.19,94,100,2.42,CL,1713477971
200,nar'yan-mar,67.6713,53.087,-14.94,93,100,3.58,RU,1713477972
201,manokwari,-0.8667,134.0833,24.95,88,100,2.36,ID,1713477972
202,tomatlan,19.9333,-105.25,31.94,29,0,4.56,MX,1713477972
203,kerikeri,-35.2268,173.9474,19.37,72,59,2.78,NZ,1713477972
204,boujniba,32.9005,-6.7746,16.34,37,100,3.17,MA,1713477972
205,francistown,-21.17,27.5079,19.12,64,0,2.94,BW,1713477976
206,leh,34.1667,77.5833,-5.57,88,84,1.11,IN,1713477976
207,dazhou,31.2159,107.5009,18.41,97,100,0.32,CN,1713477977
208,balqash,46.8481,74.995,13.95,50,46,5.47,KZ,1713477977
209,grand falls-windsor,48.9332,-55.6649,-0.83,91,100,5.36,CA,1713477923
210,port alfred,-33.5906,26.891,17.32,97,53,0.45,ZA,1713477984
211,nova sintra,14.8667,-24.7167,24.15,81,25,11.22,CV,1713477985
212,toliara,-23.35,43.6667,24.89,77,100,1.03,MG,1713477991
213,udachny,66.4167,112.4,-7.53,93,97,3.48,RU,1713477992
214,puerto baquerizo moreno,-0.9,-89.6,28.55,74,20,5.14,EC,1713477993
215,la paz,-16.5,-68.15,14.99,41,75,5.14,BO,1713477882
216,bardai,11.65,7.2333,28.99,15,100,1.62,NG,1713477993
217,muli,2.9167,73.5667,29.28,77,27,6.18,MV,1713477993
218,nantucket,41.2835,-70.0995,8.9,85,100,6.17,US,1713477788
219,zermatt,46.0213,7.7491,-4.28,98,100,2.63,CH,1713477994
220,san andres,12.5847,-81.7006,30.01,70,20,3.09,CO,1713477995
221,chui,-33.6971,-53.4616,13.91,74,0,2.89,UY,1713477995
222,bandon,51.7469,-8.7425,9.77,89,19,3.61,IE,1713477995
223,hermanus,-34.4187,19.2345,15.45,88,92,3.9,ZA,1713477996
224,kingston,17.997,-76.7936,29.53,63,75,2.57,JM,1713477697
225,laguna,38.421,-121.4238,28.13,39,0,2.57,US,1713477996
226,san elizario,31.5851,-106.2728,31.41,6,20,3.6,US,1713477996
227,las heras,-46.5419,-68.9359,14.25,46,59,10.97,AR,1713477996
228,benghazi,32.1167,20.0667,20.23,54,0,3.24,LY,1713477934
229,egilsstadir,65.2653,-14.3948,-3.05,93,100,3.09,IS,1713477997
230,ust-nera,64.5667,143.2,-4.65,98,84,3.67,RU,1713477998
231,greymouth,-42.4667,171.2,12.23,75,100,1.39,NZ,1713478001
232,kita,13.0349,-9.4895,32.94,10,34,2.3,ML,1713477754
233,akrehamn,59.2667,5.1833,5.79,81,100,6.17,NO,1713478003
234,polyarnyy,69.1989,33.4478,-16.47,97,8,2.15,RU,1713478003
235,grande prairie,55.1667,-118.8027,6.36,24,68,4.31,CA,1713478001
236,susuman,62.7833,148.1667,-7.01,97,100,0.88,RU,1713478005
237,upper grand lagoon,30.1633,-85.7408,25.08,80,100,1.34,US,1713477813
238,cockburn town,21.4612,-71.1419,25.05,75,0,7.93,TC,1713478006
239,tura,25.5198,90.2201,22.45,91,4,2.9,IN,1713477747
240,tofol,5.3248,163.0078,27.88,83,100,5.14,FM,1713478008
241,saint-pierre,-21.3393,55.4781,22.82,68,20,2.57,RE,1713478011
242,kingsville,27.5159,-97.8561,31.23,69,100,6.17,US,1713478012
243,san antonio de pale,-1.4014,5.6325,28.57,85,44,2.91,GQ,1713478013
244,kamloops,50.6665,-120.3192,14.21,25,77,0.89,CA,1713477998
245,huarmey,-10.0681,-78.1522,22.72,76,51,4.14,PE,1713478014
246,al muwayh,22.4333,41.7583,25.3,32,4,4.8,SA,1713478020
247,hailar,49.2,119.7,0.12,41,68,1.08,CN,1713478020
248,gadzhiyevo,69.2551,33.3362,-17.64,97,26,2.25,RU,1713478020
249,tralee,52.2704,-9.7026,9.32,92,91,3.29,IE,1713478021
250,gibsons,49.3997,-123.5027,19.31,41,1,2.98,CA,1713478021
251,moyale,3.5167,39.0584,20.01,90,77,1.33,KE,1713477863
252,diplo,24.4667,69.584,26.13,64,17,5.71,PK,1713478022
253,lower hutt,-41.2167,174.9167,16.29,67,14,9.77,NZ,1713478022
254,valparaiso,-33.0393,-71.6273,24.13,58,0,6.69,CL,1713477884
255,'ali al gharbi,32.4633,46.6864,28.0,18,0,2.78,IQ,1713478022
256,sao joao da barra,-21.6403,-41.0511,23.05,80,100,9.95,BR,1713478022
257,robore,-18.3333,-59.75,25.05,83,75,0.0,BO,1713478023
258,pyt-yakh,60.7499,72.8582,-5.19,81,65,4.68,RU,1713478023
259,hamilton,39.1834,-84.5333,26.47,34,0,3.09,US,1713477501
260,olonkinbyen,70.9221,-8.7187,-7.78,84,100,14.71,SJ,1713478026
261,qarqaraly,49.4058,75.4742,10.68,82,87,2.77,KZ,1713478028
262,moree,-29.4667,149.85,15.03,58,0,4.04,AU,1713478028
263,revelstoke,50.9832,-118.2023,9.95,31,100,2.09,CA,1713477747
264,lospalos,-8.5186,127.0025,22.08,100,100,1.24,TL,1713478032
265,amursk,50.2261,136.8994,2.77,79,100,8.01,RU,1713478032
266,puerto escondido,15.85,-97.0667,29.46,84,40,4.63,MX,1713478032
267,ginir,7.1333,40.7,15.46,91,40,1.68,ET,1713478032
268,vila velha,-20.3297,-40.2925,23.97,85,75,7.72,BR,1713477805
269,chegdomyn,51.1167,133.0167,4.77,91,100,0.76,RU,1713478033
270,fort bragg,35.139,-79.006,30.75,34,3,1.79,US,1713478033
271,fort mcmurray,56.7268,-111.381,3.24,27,100,4.27,CA,1713477931
272,totness,5.8833,-56.3167,26.72,88,82,6.28,SR,1713478034
273,luba,3.4568,8.5547,28.43,83,79,1.95,GQ,1713478036
274,pitimbu,-7.4706,-34.8086,28.33,81,97,3.45,BR,1713478039
275,south suffolk,36.7171,-76.5902,25.02,51,0,5.14,US,1713478041
276,new norfolk,-42.7826,147.0587,12.18,87,60,1.17,AU,1713478041
277,carlsbad,33.1581,-117.3506,25.5,70,0,3.6,US,1713477418
278,tual,-5.6667,132.75,28.26,73,100,1.66,ID,1713478043
279,shambu,9.5667,37.1,16.92,25,98,0.57,ET,1713477755
280,darende,38.5458,37.5058,15.29,74,0,2.72,TR,1713478043
281,castillos,-34.1667,-53.8333,12.83,71,0,2.04,UY,1713478044
282,along,28.1667,94.7667,15.9,95,67,0.59,IN,1713478044
283,wenchang,30.904,118.4887,16.02,75,100,1.95,CN,1713478045
284,los llanos de aridane,28.6585,-17.9182,18.86,68,0,2.06,ES,1713478046
285,quellon,-43.1167,-73.6167,11.38,71,46,7.6,CL,1713478046
286,muravlenko,63.7898,74.523,-16.51,95,96,7.47,RU,1713478047
287,kayenta,36.7278,-110.2546,21.4,13,100,8.74,US,1713478047
288,san fernando de apure,7.8878,-67.4724,25.27,91,100,2.44,VE,1713478047
289,el-tor,28.2364,33.6254,22.32,53,0,6.61,EG,1713478048
290,fonte boa,-2.4959,-66.2662,24.99,97,100,0.96,BR,1713478049
291,veinticinco de mayo,-35.4323,-60.1727,18.32,75,23,0.45,AR,1713477943
292,khorixas,-20.3667,14.9667,26.13,30,55,2.16,NA,1713478053
293,usogorsk,63.4106,48.6872,-9.07,98,97,2.34,RU,1713478053
294,sechura,-5.5569,-80.8222,26.7,60,36,5.79,PE,1713478053
295,porto novo,6.4965,2.6036,28.51,82,89,4.31,BJ,1713478001
296,howard springs,-12.497,131.047,26.04,80,89,2.39,AU,1713478055
297,lubango,-14.9172,13.4925,18.29,67,75,1.14,AO,1713478055
298,san pedro pochutla,15.7333,-96.4667,30.84,43,1,4.82,MX,1713478016
299,cacequi,-29.8836,-54.825,17.85,83,2,2.15,BR,1713478055
300,mossel bay,-34.1831,22.146,14.96,91,51,1.73,ZA,1713478055
301,antonio enes,-16.2325,39.9086,26.0,88,100,3.1,MZ,1713478055
302,aykhal,66.0,111.5,-5.38,97,93,5.74,RU,1713478056
303,harper,4.375,-7.7169,28.3,85,100,4.03,LR,1713478056
304,sao geraldo do araguaia,-6.4006,-48.555,25.15,94,79,0.37,BR,1713477978
305,crane,31.3974,-102.3501,34.16,6,0,3.9,US,1713478056
306,kariba,-16.5167,28.8,22.27,70,1,1.36,ZW,1713478057
307,lazarevskoye,43.9061,39.3331,16.38,70,71,3.79,RU,1713478057
308,chibougamau,49.9168,-74.3659,5.87,67,98,4.57,CA,1713477761
309,rawson,-43.3002,-65.1023,21.37,40,93,9.94,AR,1713478057
310,magadan,59.5667,150.8,-0.26,82,89,0.78,RU,1713478058
311,verdal,63.7933,11.4817,3.02,70,0,4.38,NO,1713478058
312,nelidovo,56.2211,32.7774,4.68,96,100,5.84,RU,1713478058
313,ulsteinvik,62.3432,5.8487,7.09,65,100,1.34,NO,1713478058
314,salinas,36.6777,-121.6555,25.56,75,20,5.66,US,1713478058
315,ta`u,-14.2336,-169.5144,28.92,77,61,6.63,AS,1713478062
316,kish,26.5578,54.0194,22.15,88,0,4.12,IR,1713478065
317,torquay,50.4638,-3.5143,9.36,83,78,0.45,GB,1713478067
318,guane,22.2025,-84.0875,29.43,43,30,4.21,CU,1713478067
319,palmer,42.1584,-72.3287,7.91,79,100,3.6,US,1713478067
320,ikalamavony,-21.15,46.5833,15.48,86,100,2.58,MG,1713478068
321,thunder bay,48.4001,-89.3168,10.06,47,91,4.24,CA,1713478069
322,okhotsk,59.3833,143.3,-1.14,88,93,3.96,RU,1713478069
323,yambio,4.5721,28.3955,20.98,86,99,2.35,SS,1713478071
324,atmore,31.0238,-87.4939,28.27,71,100,4.53,US,1713478071
325,holualoa,19.6228,-155.9522,25.91,73,40,5.14,US,1713478072
326,bonthe,7.5264,-12.505,27.94,83,51,3.23,SL,1713478074
327,sovetskiy,61.3614,63.5842,-5.62,98,95,1.79,RU,1713478074
328,kone,-21.0595,164.8658,28.06,69,100,2.43,NC,1713478074
329,argo,37.6333,22.7333,11.93,73,11,2.37,GR,1713478074
330,juneau,58.3019,-134.4197,12.0,74,0,4.12,US,1713478074
331,sao vicente,-23.9631,-46.3919,22.21,63,100,1.03,BR,1713477802
332,qurayyat,31.3318,37.3428,19.1,52,0,3.09,SA,1713478075
333,trinity beach,-16.7888,145.6968,25.01,93,75,4.12,AU,1713478078
334,odessa,46.4775,30.7326,8.17,79,100,7.58,UA,1713478060
335,zyryanskoye,56.8306,86.6258,8.84,87,100,8.88,RU,1713478080
336,chuguyevka,44.1653,133.8633,8.57,84,55,1.04,RU,1713478082
337,kem',64.9555,34.5793,-9.32,89,100,3.36,RU,1713478082
338,lubuklinggau,-3.3,102.8667,22.61,98,100,0.83,ID,1713478082
339,ermoupolis,37.4423,24.9425,17.39,77,3,4.63,GR,1713478083
340,katima mulilo,-17.5,24.2667,19.85,57,1,1.66,NA,1713478083
341,tabou,4.423,-7.3528,28.43,84,100,4.42,CI,1713478084
342,la ronge,55.1001,-105.2842,-3.47,93,100,7.76,CA,1713477813
343,okondja,-0.6549,13.6753,23.67,94,100,2.63,GA,1713478086
344,dzyarzhynsk,53.6832,27.138,5.2,82,100,5.57,BY,1713478087
345,elverum,60.8819,11.5623,-1.04,78,79,1.2,NO,1713478088
346,kaohsiung,22.6163,120.3133,26.97,81,75,3.09,TW,1713477982
347,kiuruvesi,63.65,26.6167,-6.22,90,42,2.56,FI,1713478089
348,fomboni,-12.28,43.7425,29.49,75,43,7.27,KM,1713478092
349,filey,54.21,-0.2892,10.44,89,100,3.13,GB,1713478093
350,zouerate,22.7187,-12.4521,29.19,13,100,2.89,MR,1713478093
351,cabo san lucas,22.8909,-109.9124,33.17,23,0,5.14,MX,1713478093
352,bayganin,48.6947,55.8742,16.58,54,0,4.46,KZ,1713478093
